Star,RA,DEC,RMS,Median Mag,SS Best Metric,SNR at Peak,Peak Period
14055702,83.87846375,-0.181381956,0.234051337,14.1543932,0.94789,0.040710497,1.24715
9542108,124.6968765,-44.33236313,0.135817545,13.71769905,1.00457,0.010799174,1.25911
15188410,83.09425354,-2.017044067,0.190980533,13.39610195,1.038565,0.016961267,1.47127
59094502,92.36752319,3.340953112,0.142084165,13.57969952,0.9852,0.004509225,1.03564
54028651,86.77026367,-7.782189846,0.185072331,13.97250271,1.00392,0.008025495,0.99274
48284627,119.816124,-51.28886032,0.217642053,13.4053526,0.99755,0.008609444,0.9982
53974365,76.40823364,-5.034565926,0.194155582,13.27604771,1.006585,0.005114365,0.99937
14729090,81.39445496,-2.271497965,0.160568741,13.36138344,1.035315,0.004151273,1.33074
59360390,89.26005554,4.243039131,0.129989076,13.15119171,0.962255,0.003051183,1.49636
14703242,25.93418121,-3.50689888,0.03758887,11.01724577,1.109935,0.001795805,1.331
59052640,63.53802109,1.76080513,0.059960748,11.75467587,1.378645,0.004002535,1.00067
16015098,83.78845215,-2.690155268,0.140777459,12.51292419,0.24602,0.009335778,1.49987
61032720,73.93093872,2.087162972,0.05454433,10.8023994,0.741905,0.002068249,1.48284
14054811,82.41151428,-0.626710713,0.11749275,11.79129529,0.999045,0.014847017,0.499
15019278,95.78028107,-4.957623482,0.147355901,12.47790432,1.250465,0.004557062,1.03226
15223575,95.39501953,-1.031734467,0.0989607,12.39754033,0.991895,0.004279135,0.99534
59068578,81.87598419,3.838277102,0.140245342,11.83428239,0.987475,0.004618473,1.49532
54026391,86.20346832,-8.2996521,0.137251782,12.96116447,1.035055,0.003293171,0.99638
14728382,80.84120178,-4.152966499,0.110957722,12.22029495,1.345365,0.008363117,1.49857
45088272,107.1029511,-16.49648476,0.477246633,13.82161975,1.009315,0.025474695,1.49753
44665565,13.27519417,-15.78611183,0.039134527,11.08029795,0.995925,0.0026204,1.49766
37434515,116.09375,-47.82563782,0.16158091,13.05668068,1.00236,0.002513415,1.49753
53938494,68.45697021,-7.791986465,0.070280119,11.70402455,0.994885,0.004563686,1.331
59082078,89.84710693,1.137188315,0.065629275,11.85456181,1.27185,0.009547936,1.33113
37299864,99.67202759,-46.17502975,0.024310732,7.34439611,1.008275,0.001289124,1.49818
54018473,83.67037964,-6.576404095,0.159544923,12.88136053,0.662605,0.004084233,0.66267
59054582,67.05569458,3.244168758,0.122746973,12.7318964,1.007755,0.004302924,0.96466
56219521,86.98213196,-10.9236412,0.107386255,12.7102499,1.03512,0.003428163,1.49818
59098791,93.23120117,2.826079845,0.334093806,11.03381062,0.99638,0.013818081,1.49675
56360904,101.5510025,-13.62727642,0.105158114,12.44864225,0.951465,0.00140808,1.49766
58466838,78.18534851,0.155774549,0.025909989,9.88301373,1.021665,0.00322116,0.99508
11685806,89.08279419,-30.66284752,0.110168526,12.43065167,0.90889,0.004409998,0.99742
54247214,104.6219254,-6.64297533,0.367945387,12.00739288,1.3297,0.011400468,0.99872
54022088,84.51919556,-5.527632236,0.133412129,12.57436752,0.507905,0.003327286,0.99508
53991467,79.40524292,-7.557587624,0.257631285,12.59136963,0.69699,0.00381367,1.39405
45056278,105.3303223,-15.45609856,0.083649046,11.66450787,1.299995,0.003009679,1.29993
9439648,115.5329056,-43.14819717,0.133872273,12.88016272,0.995665,0.002818319,1.49597
48294668,123.7306442,-50.75977325,0.205251294,13.05264997,1.03486,0.003723482,1.49766
11732977,95.61275482,-30.46287918,0.03303875,10.12134695,0.99898,0.002528531,1.33217
49823258,9.352417946,-64.96566772,0.224570079,14.00663948,1.03512,0.005078789,1.49753
6968273,79.35852814,7.006455421,0.02660986,10.21588087,1.007885,0.002026637,1.331
9541431,124.6148834,-42.96466064,0.448405855,13.4515295,0.999305,nan,1.49974
59070681,83.2869339,2.412197828,0.139922656,12.79238939,0.995015,0.004934558,1.49636
54023388,85.10402679,-8.125882149,0.180703673,13.44674635,1.034925,0.003135612,1.4974
11816736,103.8297348,-31.27906418,0.150028536,12.69477367,0.78396,0.005283392,1.49766
58469496,83.43406677,0.355098724,0.134384571,12.49027061,0.964335,0.007045426,1.49545
53794629,2.484478951,-7.781000614,0.086142976,12.21377707,0.48938,0.00500326,1.49818
53995250,80.09435272,-8.95148468,0.175805673,13.56621528,1.03499,0.003206873,1.35193
44798605,73.70587921,-15.8200407,0.167736359,13.79656076,1.035055,0.003957208,1.49857
27423300,29.32142448,-68.48472595,0.150579556,13.12113667,1.035185,0.003501667,1.00054
34242958,119.4427948,-20.1452961,0.046908616,9.337109565,1.00236,0.00254405,1.00301
15161914,74.55461884,-1.010020494,0.098059996,12.17272091,1.21881,0.004359324,1.49415
14053603,80.17512512,-1.469643831,0.132395958,12.84527969,1.465225,0.003638899,1.49987
9428508,114.6190033,-41.5573082,0.146807285,13.51893712,1.035445,0.003837186,1.00067
56206531,84.35228729,-10.88072205,0.14070918,12.85849667,1.359145,0.005405965,0.99742
54027891,86.60508728,-8.009711266,0.158533218,13.1286211,1.035055,0.003978259,1.49831
45108256,108.2150421,-19.43392563,0.235661871,13.42803335,1.01497,0.042433855,0.49952
9398922,112.0423584,-42.57471085,0.127308248,11.5386858,1.496035,0.002444288,0.99976
14060260,85.53634644,-1.256649852,0.155204939,13.38934756,0.962125,0.00940087,0.6654
6722358,32.72000122,5.167065144,0.188619196,13.97816944,1.035315,0.007466791,1.39639
37448980,117.4264908,-46.20772934,0.489375313,12.64320278,0.99456,nan,0.9995
9323699,104.4059677,-42.75305939,0.184710419,12.77042437,0.99716,0.002476688,1.44514
