Star,RA,DEC,RMS,Median Mag,SS Best Metric,SNR at Peak,Peak Period
27891495,107.5205765,-67.3506012,4.399011783,0.03606987,0.996575,0.010361035,0.99638
37262715,91.76205444,-46.74620819,0.210906853,10.45594621,1.049615,0.012277828,1.04955
59068996,82.15893555,1.635257721,0.196777202,8.88839245,0.99625,0.011913447,1.49545
44816732,78.19418335,-16.13471794,0.134177603,8.66763067,0.498675,0.007736468,1.49571
3304577,123.5373993,-36.3082695,0.11068964,7.537214635,1.477705,0.00366115,0.99846
33871826,96.50952148,-21.60750961,0.073273943,8.97740746,0.99521,0.003384505,1.49844
59067633,81.16035461,1.810632586,0.06740963,6.62167621,0.997875,0.006074973,1.02797
33958572,103.4418411,-21.76473808,0.064857032,11.24225855,0.995665,0.001672511,0.9969
54400646,111.1746826,-6.496893883,0.064500721,9.56619358,0.996055,0.006321203,0.99716
59073147,86.55293274,1.663751841,0.057105413,11.08084488,0.995015,0.00359368,1.49558
56273282,94.27230835,-11.19749355,0.052737453,10.26808167,1.08296,0.002989491,1.49571
47423614,117.3313065,-52.38360214,0.052449661,11.09253288,0.996315,0.002468448,1.49818
18996791,118.5377808,-88.51819611,0.051078061,9.87889385,0.998525,0.000212672,0.99729
33895953,98.82035065,-21.96378517,0.047801944,10.53220082,0.99729,0.003600746,1.49766
6964611,74.16786194,9.199464798,0.047172176,11.17970133,1.00262,0.006163039,0.99612
3318440,124.9089584,-35.503685,0.046461099,10.60072041,0.9982,0.001241975,1.4961
34239850,119.2574692,-23.17701721,0.046421726,10.80898285,0.998005,0.00527502,1.49831
3133019,108.2658463,-35.53758621,0.045240763,10.81872893,0.997875,0.003211728,0.99768
59139819,109.5994797,2.410505295,0.045184598,10.35426426,1.007755,0.002757113,1.32957
54031172,87.31404114,-8.777665138,0.04348625,11.28648376,0.310045,0.004135589,0.99703
54293888,106.7416534,-6.581212997,0.043148946,8.936747075,0.99534,0.002893191,1.49818
27914241,123.5444183,-68.26244354,0.042389049,10.94930387,0.99638,0.001443066,0.99781
53985960,78.42568207,-5.190888405,0.041781175,9.24757576,0.99625,0.004759578,0.99495
33820254,90.20864868,-21.94070816,0.04135588,7.4259181,1.003465,0.002273681,0.99326
54138090,98.61798096,-6.772673607,0.041275618,9.591909885,1.01575,0.005504287,1.49558
50044303,120.2296066,-60.75393295,0.041127875,10.21019077,0.9982,0.002743688,0.99859
9527448,123.0980988,-44.85070038,0.03941468,10.54319429,1.3297,0.002432651,1.00054
